;org:resource;ticket;phase;created;endtime;priority;issuetype;concept:name;time:timestamp;@@index;case:concept:name
0;PO; IMA  2732;Plan;2021-07-13 16:17:25.796000+00:00;2021-07-13 16:17:36.699000+00:00;None;Story;Plan;2021-07-13 16:17:25.796000+00:00;0; IMA  2732
1;PO; IMA  2732;Closed;2021-07-13 16:17:36.699000+00:00;2021-07-13 16:17:36.699000+00:00;None;Story;Closed;2021-07-13 16:17:36.699000+00:00;1; IMA  2732
2;PO; IMA  2946;RFW;2022-01-12 11:52:19.189000+00:00;2022-01-13 11:21:40.666000+00:00;None;Sub - Task;RFW;2022-01-12 11:52:19.189000+00:00;4; IMA  2946
3;Front End Developer; IMA  2946;WIog;2022-01-13 11:21:40.666000+00:00;2022-01-17 16:54:23.402000+00:00;None;Sub - Task;WIog;2022-01-13 11:21:40.666000+00:00;5; IMA  2946
4;Front End Developer; IMA  2946;AcP;2022-01-17 16:54:23.402000+00:00;2022-01-18 10:44:18.673000+00:00;None;Sub - Task;AcP;2022-01-17 16:54:23.402000+00:00;6; IMA  2946
5;QA; IMA  2946;AcIog;2022-01-18 10:44:18.673000+00:00;2022-01-18 12:50:17.733000+00:00;None;Sub - Task;AcIog;2022-01-18 10:44:18.673000+00:00;7; IMA  2946
6;QA; IMA  2946;AcD;2022-01-18 12:50:17.733000+00:00;2022-01-18 12:50:17.733000+00:00;None;Sub - Task;AcD;2022-01-18 12:50:17.733000+00:00;8; IMA  2946
7;PO; IMA  2948;RFW;2022-01-12 11:52:29.824000+00:00;2022-01-14 11:00:55.552000+00:00;None;Sub - Task;RFW;2022-01-12 11:52:29.824000+00:00;9; IMA  2948
8;Front End Developer; IMA  2948;WIog;2022-01-14 11:00:55.552000+00:00;2022-01-17 16:53:15.120000+00:00;None;Sub - Task;WIog;2022-01-14 11:00:55.552000+00:00;10; IMA  2948
9;Front End Developer; IMA  2948;AcP;2022-01-17 16:53:15.120000+00:00;2022-01-18 10:44:11.890000+00:00;None;Sub - Task;AcP;2022-01-17 16:53:15.120000+00:00;11; IMA  2948
10;QA; IMA  2948;AcIog;2022-01-18 10:44:11.890000+00:00;2022-01-18 12:50:24.306000+00:00;None;Sub - Task;AcIog;2022-01-18 10:44:11.890000+00:00;12; IMA  2948
11;QA; IMA  2948;AcD;2022-01-18 12:50:24.306000+00:00;2022-01-18 12:50:24.306000+00:00;None;Sub - Task;AcD;2022-01-18 12:50:24.306000+00:00;13; IMA  2948
12;PO; IMA  3219;Plan;2021-07-23 09:18:29.697000+00:00;2021-12-15 17:21:59.054000+00:00;None;Task;Plan;2021-07-23 09:18:29.697000+00:00;20; IMA  3219
13;Front End Developer; IMA  3219;Closed;2021-12-15 17:21:59.054000+00:00;2021-12-15 17:21:59.054000+00:00;None;Task;Closed;2021-12-15 17:21:59.054000+00:00;21; IMA  3219
14;PO; IMA  3260;RFW;2021-07-27 16:12:02.476000+00:00;2021-08-26 12:58:55.586000+00:00;Must;Story;RFW;2021-07-27 16:12:02.476000+00:00;24; IMA  3260
15;Front End Developer; IMA  3260;WIog;2021-08-26 12:58:55.586000+00:00;2021-09-09 14:42:13.388000+00:00;Must;Story;WIog;2021-08-26 12:58:55.586000+00:00;25; IMA  3260
16;Front End Developer; IMA  3260;AcP;2021-09-09 14:42:13.388000+00:00;2021-09-10 09:45:45.389000+00:00;Must;Story;AcP;2021-09-09 14:42:13.388000+00:00;26; IMA  3260
17;QA; IMA  3260;WIog;2021-09-10 09:45:45.389000+00:00;2021-09-10 10:04:23.496000+00:00;Must;Story;WIog;2021-09-10 09:45:45.389000+00:00;27; IMA  3260
18;QA; IMA  3260;AcP;2021-09-10 10:04:23.496000+00:00;2021-09-10 10:04:27.241000+00:00;Must;Story;AcP;2021-09-10 10:04:23.496000+00:00;28; IMA  3260
19;QA; IMA  3260;AcIog;2021-09-10 10:04:27.241000+00:00;2021-09-13 14:28:27.129000+00:00;Must;Story;AcIog;2021-09-10 10:04:27.241000+00:00;29; IMA  3260
20;QA; IMA  3260;AcD;2021-09-13 14:28:27.129000+00:00;2021-09-13 14:28:27.129000+00:00;Must;Story;AcD;2021-09-13 14:28:27.129000+00:00;30; IMA  3260
21;PO; IMA  3493;RFW;2021-08-10 10:50:23.151000+00:00;2021-08-20 16:25:16.524000+00:00;Could;Story;RFW;2021-08-10 10:50:23.151000+00:00;39; IMA  3493
22;Front End Developer; IMA  3493;WIog;2021-08-20 16:25:16.524000+00:00;2021-08-23 10:04:24.099000+00:00;Could;Story;WIog;2021-08-20 16:25:16.524000+00:00;40; IMA  3493
23;Front End Developer; IMA  3493;AcP;2021-08-23 10:04:24.099000+00:00;2021-08-23 12:40:01.136000+00:00;Could;Story;AcP;2021-08-23 10:04:24.099000+00:00;41; IMA  3493
24;QA; IMA  3493;AcIog;2021-08-23 12:40:01.136000+00:00;2021-08-23 13:10:27.975000+00:00;Could;Story;AcIog;2021-08-23 12:40:01.136000+00:00;42; IMA  3493
25;QA; IMA  3493;AcD;2021-08-23 13:10:27.975000+00:00;2021-08-23 13:10:27.975000+00:00;Could;Story;AcD;2021-08-23 13:10:27.975000+00:00;43; IMA  3493
26;Front End Developer; IMA  3519;RF;2021-10-29 16:31:19.238000+00:00;2021-11-08 10:27:39.044000+00:00;None;Task;RF;2021-10-29 16:31:19.238000+00:00;44; IMA  3519
27;PO; IMA  3519;RFW;2021-11-08 10:27:39.044000+00:00;2021-12-02 11:02:27.955000+00:00;None;Task;RFW;2021-11-08 10:27:39.044000+00:00;45; IMA  3519
28;Front End Developer; IMA  3519;WIog;2021-12-02 11:02:27.955000+00:00;2021-12-02 11:34:52.850000+00:00;None;Task;WIog;2021-12-02 11:02:27.955000+00:00;46; IMA  3519
29;Front End Developer; IMA  3519;AcP;2021-12-02 11:34:52.850000+00:00;2021-12-15 11:05:55.072000+00:00;None;Task;AcP;2021-12-02 11:34:52.850000+00:00;47; IMA  3519
30;QA; IMA  3519;AcIog;2021-12-15 11:05:55.072000+00:00;2022-02-14 13:57:32.292000+00:00;None;Task;AcIog;2021-12-15 11:05:55.072000+00:00;48; IMA  3519
31;QA; IMA  3519;AcD;2022-02-14 13:57:32.292000+00:00;2022-02-14 13:57:32.292000+00:00;None;Task;AcD;2022-02-14 13:57:32.292000+00:00;49; IMA  3519
32;Front End Developer; IMA  3522;RFW;2021-07-27 17:47:01.904000+00:00;2021-07-27 17:47:13.472000+00:00;Major;Task;RFW;2021-07-27 17:47:01.904000+00:00;50; IMA  3522
33;Front End Developer; IMA  3522;WIog;2021-07-27 17:47:13.472000+00:00;2021-07-28 19:18:43.996000+00:00;Major;Task;WIog;2021-07-27 17:47:13.472000+00:00;51; IMA  3522
34;Front End Developer; IMA  3522;AcP;2021-07-28 19:18:43.996000+00:00;2021-07-29 09:29:26.584000+00:00;Major;Task;AcP;2021-07-28 19:18:43.996000+00:00;52; IMA  3522
35;QA; IMA  3522;AcIog;2021-07-29 09:29:26.584000+00:00;2021-08-06 09:21:51.561000+00:00;Major;Task;AcIog;2021-07-29 09:29:26.584000+00:00;53; IMA  3522
36;QA; IMA  3522;AcD;2021-08-06 09:21:51.561000+00:00;2021-08-06 09:21:51.561000+00:00;Major;Task;AcD;2021-08-06 09:21:51.561000+00:00;54; IMA  3522
37;Front End Developer; IMA  3531;RFW;2021-11-02 11:07:01.198000+00:00;2021-11-08 10:21:03.701000+00:00;Major;Sub - Task;RFW;2021-11-02 11:07:01.198000+00:00;57; IMA  3531
38;Front End Developer; IMA  3531;WIog;2021-11-08 10:21:03.701000+00:00;2021-11-16 10:11:24.574000+00:00;Major;Sub - Task;WIog;2021-11-08 10:21:03.701000+00:00;58; IMA  3531
39;Front End Developer; IMA  3531;AcP;2021-11-16 10:11:24.574000+00:00;2021-11-16 10:33:53.593000+00:00;Major;Sub - Task;AcP;2021-11-16 10:11:24.574000+00:00;59; IMA  3531
40;Front End Developer; IMA  3531;AcIog;2021-11-16 10:33:53.593000+00:00;2021-11-16 10:34:12.591000+00:00;Major;Sub - Task;AcIog;2021-11-16 10:33:53.593000+00:00;60; IMA  3531
41;Front End Developer; IMA  3531;AcP;2021-11-16 10:34:12.591000+00:00;2021-11-18 12:26:30.052000+00:00;Major;Sub - Task;AcP;2021-11-16 10:34:12.591000+00:00;61; IMA  3531
42;QA; IMA  3531;AcIog;2021-11-18 12:26:30.052000+00:00;2021-11-18 15:11:01.544000+00:00;Major;Sub - Task;AcIog;2021-11-18 12:26:30.052000+00:00;62; IMA  3531
43;QA; IMA  3531;AcD;2021-11-18 15:11:01.544000+00:00;2021-11-18 15:11:01.544000+00:00;Major;Sub - Task;AcD;2021-11-18 15:11:01.544000+00:00;63; IMA  3531
44;Front End Developer; IMA  3532;RFW;2021-11-02 11:29:30.501000+00:00;2021-11-10 11:50:34.015000+00:00;Major;Sub - Task;RFW;2021-11-02 11:29:30.501000+00:00;64; IMA  3532
45;Front End Developer; IMA  3532;WIog;2021-11-10 11:50:34.015000+00:00;2021-11-23 13:17:54.663000+00:00;Major;Sub - Task;WIog;2021-11-10 11:50:34.015000+00:00;65; IMA  3532
46;Front End Developer; IMA  3532;AcP;2021-11-23 13:17:54.663000+00:00;2021-11-24 11:02:45.069000+00:00;Major;Sub - Task;AcP;2021-11-23 13:17:54.663000+00:00;66; IMA  3532
47;QA; IMA  3532;AcIog;2021-11-24 11:02:45.069000+00:00;2021-11-24 15:42:26.307000+00:00;Major;Sub - Task;AcIog;2021-11-24 11:02:45.069000+00:00;67; IMA  3532
48;QA; IMA  3532;AcD;2021-11-24 15:42:26.307000+00:00;2021-11-24 15:42:26.307000+00:00;Major;Sub - Task;AcD;2021-11-24 15:42:26.307000+00:00;68; IMA  3532
49;Front End Developer; IMA  3533;RFW;2021-11-02 11:29:32.747000+00:00;2021-11-11 11:29:59.287000+00:00;Major;Sub - Task;RFW;2021-11-02 11:29:32.747000+00:00;69; IMA  3533
50;Front End Developer; IMA  3533;WIog;2021-11-11 11:29:59.287000+00:00;2021-11-23 13:18:05.786000+00:00;Major;Sub - Task;WIog;2021-11-11 11:29:59.287000+00:00;70; IMA  3533
51;Front End Developer; IMA  3533;AcP;2021-11-23 13:18:05.786000+00:00;2021-11-24 11:02:49.133000+00:00;Major;Sub - Task;AcP;2021-11-23 13:18:05.786000+00:00;71; IMA  3533
52;QA; IMA  3533;AcIog;2021-11-24 11:02:49.133000+00:00;2021-11-24 15:42:08.079000+00:00;Major;Sub - Task;AcIog;2021-11-24 11:02:49.133000+00:00;72; IMA  3533
53;QA; IMA  3533;AcD;2021-11-24 15:42:08.079000+00:00;2021-11-24 15:42:08.079000+00:00;Major;Sub - Task;AcD;2021-11-24 15:42:08.079000+00:00;73; IMA  3533
54;Front End Developer; IMA  3534;RFW;2021-11-02 17:34:03.236000+00:00;2021-11-02 17:34:11.366000+00:00;Major;Sub - Task;RFW;2021-11-02 17:34:03.236000+00:00;74; IMA  3534
55;Front End Developer; IMA  3534;Plan;2021-11-02 17:34:11.366000+00:00;2021-11-04 10:58:21.439000+00:00;Major;Sub - Task;Plan;2021-11-02 17:34:11.366000+00:00;75; IMA  3534
56;Front End Developer; IMA  3534;RFW;2021-11-04 10:58:21.439000+00:00;2021-11-15 10:16:01.209000+00:00;Major;Sub - Task;RFW;2021-11-04 10:58:21.439000+00:00;76; IMA  3534
57;Front End Developer; IMA  3534;WIog;2021-11-15 10:16:01.209000+00:00;2021-12-02 11:33:19.070000+00:00;Major;Sub - Task;WIog;2021-11-15 10:16:01.209000+00:00;77; IMA  3534
58;Front End Developer; IMA  3534;AcP;2021-12-02 11:33:19.070000+00:00;2021-12-15 11:05:43.668000+00:00;Major;Sub - Task;AcP;2021-12-02 11:33:19.070000+00:00;78; IMA  3534
59;QA; IMA  3534;AcIog;2021-12-15 11:05:43.668000+00:00;2021-12-15 16:06:27.272000+00:00;Major;Sub - Task;AcIog;2021-12-15 11:05:43.668000+00:00;79; IMA  3534
60;QA; IMA  3534;AcD;2021-12-15 16:06:27.272000+00:00;2021-12-15 16:06:27.272000+00:00;Major;Sub - Task;AcD;2021-12-15 16:06:27.272000+00:00;80; IMA  3534
61;Front End Developer; IMA  3535;RFW;2021-11-04 16:08:57.895000+00:00;2021-11-24 15:10:27.677000+00:00;Major;Sub - Task;RFW;2021-11-04 16:08:57.895000+00:00;81; IMA  3535
62;Front End Developer; IMA  3535;WIog;2021-11-24 15:10:27.677000+00:00;2021-12-02 11:33:52.795000+00:00;Major;Sub - Task;WIog;2021-11-24 15:10:27.677000+00:00;82; IMA  3535
63;Front End Developer; IMA  3535;AcP;2021-12-02 11:33:52.795000+00:00;2021-12-15 11:05:39.880000+00:00;Major;Sub - Task;AcP;2021-12-02 11:33:52.795000+00:00;83; IMA  3535
64;QA; IMA  3535;AcIog;2021-12-15 11:05:39.880000+00:00;2021-12-15 15:45:47.238000+00:00;Major;Sub - Task;AcIog;2021-12-15 11:05:39.880000+00:00;84; IMA  3535
65;QA; IMA  3535;AcD;2021-12-15 15:45:47.238000+00:00;2021-12-15 15:45:47.238000+00:00;Major;Sub - Task;AcD;2021-12-15 15:45:47.238000+00:00;85; IMA  3535
66;Front End Developer; IMA  3536;RFW;2021-11-04 15:36:48.730000+00:00;2021-11-22 13:59:36.975000+00:00;Major;Sub - Task;RFW;2021-11-04 15:36:48.730000+00:00;86; IMA  3536
67;Front End Developer; IMA  3536;WIog;2021-11-22 13:59:36.975000+00:00;2021-12-02 11:34:15.994000+00:00;Major;Sub - Task;WIog;2021-11-22 13:59:36.975000+00:00;87; IMA  3536
68;Front End Developer; IMA  3536;AcP;2021-12-02 11:34:15.994000+00:00;2021-12-15 11:05:35.450000+00:00;Major;Sub - Task;AcP;2021-12-02 11:34:15.994000+00:00;88; IMA  3536
69;QA; IMA  3536;AcIog;2021-12-15 11:05:35.450000+00:00;2021-12-15 14:39:13.630000+00:00;Major;Sub - Task;AcIog;2021-12-15 11:05:35.450000+00:00;89; IMA  3536
70;QA; IMA  3536;AcD;2021-12-15 14:39:13.630000+00:00;2021-12-15 14:39:13.630000+00:00;Major;Sub - Task;AcD;2021-12-15 14:39:13.630000+00:00;90; IMA  3536
71;Front End Developer; IMA  3538;RFW;2021-11-03 14:33:48.771000+00:00;2021-11-09 16:13:00.123000+00:00;Major;Sub - Task;RFW;2021-11-03 14:33:48.771000+00:00;91; IMA  3538
72;Front End Developer; IMA  3538;WIog;2021-11-09 16:13:00.123000+00:00;2021-11-23 13:09:12.668000+00:00;Major;Sub - Task;WIog;2021-11-09 16:13:00.123000+00:00;92; IMA  3538
73;Front End Developer; IMA  3538;AcP;2021-11-23 13:09:12.668000+00:00;2021-11-24 11:02:53.977000+00:00;Major;Sub - Task;AcP;2021-11-23 13:09:12.668000+00:00;93; IMA  3538
74;QA; IMA  3538;AcIog;2021-11-24 11:02:53.977000+00:00;2021-11-24 15:41:49.905000+00:00;Major;Sub - Task;AcIog;2021-11-24 11:02:53.977000+00:00;94; IMA  3538
75;QA; IMA  3538;AcD;2021-11-24 15:41:49.905000+00:00;2021-11-24 15:41:49.905000+00:00;Major;Sub - Task;AcD;2021-11-24 15:41:49.905000+00:00;95; IMA  3538
76;Front End Developer; IMA  3539;RFW;2021-11-02 17:34:15.007000+00:00;2021-11-08 16:31:37.326000+00:00;Major;Sub - Task;RFW;2021-11-02 17:34:15.007000+00:00;96; IMA  3539
77;Front End Developer; IMA  3539;WIog;2021-11-08 16:31:37.326000+00:00;2021-11-16 10:12:00.874000+00:00;Major;Sub - Task;WIog;2021-11-08 16:31:37.326000+00:00;97; IMA  3539
78;Front End Developer; IMA  3539;AcP;2021-11-16 10:12:00.874000+00:00;2021-11-16 10:33:59.704000+00:00;Major;Sub - Task;AcP;2021-11-16 10:12:00.874000+00:00;98; IMA  3539
79;Front End Developer; IMA  3539;AcIog;2021-11-16 10:33:59.704000+00:00;2021-11-16 10:34:15.269000+00:00;Major;Sub - Task;AcIog;2021-11-16 10:33:59.704000+00:00;99; IMA  3539
80;Front End Developer; IMA  3539;AcP;2021-11-16 10:34:15.269000+00:00;2021-11-18 12:26:20.992000+00:00;Major;Sub - Task;AcP;2021-11-16 10:34:15.269000+00:00;100; IMA  3539
81;QA; IMA  3539;AcIog;2021-11-18 12:26:20.992000+00:00;2021-11-18 15:16:56.568000+00:00;Major;Sub - Task;AcIog;2021-11-18 12:26:20.992000+00:00;101; IMA  3539
82;QA; IMA  3539;AcD;2021-11-18 15:16:56.568000+00:00;2021-11-18 15:16:56.568000+00:00;Major;Sub - Task;AcD;2021-11-18 15:16:56.568000+00:00;102; IMA  3539
83;Front End Developer; IMA  3540;RFW;2021-11-02 17:34:18.032000+00:00;2021-11-11 18:33:41.223000+00:00;Major;Sub - Task;RFW;2021-11-02 17:34:18.032000+00:00;103; IMA  3540
84;Front End Developer; IMA  3540;WIog;2021-11-11 18:33:41.223000+00:00;2021-11-18 15:59:33.112000+00:00;Major;Sub - Task;WIog;2021-11-11 18:33:41.223000+00:00;104; IMA  3540
85;Front End Developer; IMA  3540;AcP;2021-11-18 15:59:33.112000+00:00;2021-11-19 10:30:48.502000+00:00;Major;Sub - Task;AcP;2021-11-18 15:59:33.112000+00:00;105; IMA  3540
86;QA; IMA  3540;AcIog;2021-11-19 10:30:48.502000+00:00;2021-11-19 13:45:55.964000+00:00;Major;Sub - Task;AcIog;2021-11-19 10:30:48.502000+00:00;106; IMA  3540
87;QA; IMA  3540;AcD;2021-11-19 13:45:55.964000+00:00;2021-11-19 13:45:55.964000+00:00;Major;Sub - Task;AcD;2021-11-19 13:45:55.964000+00:00;107; IMA  3540
88;PO; IMA  3544;Plan;2021-07-23 09:29:11.072000+00:00;2021-07-23 09:29:37.137000+00:00;Major;UX Task;Plan;2021-07-23 09:29:11.072000+00:00;108; IMA  3544
89;PO; IMA  3544;Plan;2021-07-23 09:29:37.137000+00:00;2021-07-23 09:29:51.605000+00:00;Major;UX Task;Plan;2021-07-23 09:29:37.137000+00:00;109; IMA  3544
90;PO; IMA  3544;Closed;2021-07-23 09:29:51.605000+00:00;2021-07-23 09:29:51.605000+00:00;Major;UX Task;Closed;2021-07-23 09:29:51.605000+00:00;110; IMA  3544
