;org:resource;ticket;phase;created;endtime;priority;issuetype;concept:name;time:timestamp;@@index;case:concept:name
0;Back End Developer; MAD  1133;RF;2021-09-22 16:45:27.043000+00:00;2021-09-22 16:45:53.433000+00:00;Minor;Bug;RF;2021-09-22 16:45:27.043000+00:00;4; MAD  1133
1;Back End Developer; MAD  1133;RFW;2021-09-22 16:45:53.433000+00:00;2021-09-22 16:46:00.945000+00:00;Minor;Bug;RFW;2021-09-22 16:45:53.433000+00:00;5; MAD  1133
2;Back End Developer; MAD  1133;WIog;2021-09-22 16:46:00.945000+00:00;2021-09-30 15:53:30.437000+00:00;Minor;Bug;WIog;2021-09-22 16:46:00.945000+00:00;6; MAD  1133
3;Back End Developer; MAD  1133;Closed;2021-09-30 15:53:30.437000+00:00;2021-09-30 15:53:30.437000+00:00;Minor;Bug;Closed;2021-09-30 15:53:30.437000+00:00;7; MAD  1133
4;UX/UI; MAD  1213;RFW;2022-01-10 11:47:12.743000+00:00;2022-01-10 11:47:16.736000+00:00;None;UX Task;RFW;2022-01-10 11:47:12.743000+00:00;11; MAD  1213
5;UX/UI; MAD  1213;WIog;2022-01-10 11:47:16.736000+00:00;2022-01-19 13:57:17.972000+00:00;None;UX Task;WIog;2022-01-10 11:47:16.736000+00:00;12; MAD  1213
6;UX/UI; MAD  1213;AcP;2022-01-19 13:57:17.972000+00:00;2022-01-19 14:09:02.924000+00:00;None;UX Task;AcP;2022-01-19 13:57:17.972000+00:00;13; MAD  1213
7;UX/UI; MAD  1213;AcIog;2022-01-19 14:09:02.924000+00:00;2022-01-19 14:09:11.353000+00:00;None;UX Task;AcIog;2022-01-19 14:09:02.924000+00:00;14; MAD  1213
8;UX/UI; MAD  1213;AcD;2022-01-19 14:09:11.353000+00:00;2022-01-19 14:09:11.353000+00:00;None;UX Task;AcD;2022-01-19 14:09:11.353000+00:00;15; MAD  1213
9;Back End Developer; MAD  1214;RF;2021-09-22 16:45:41.924000+00:00;2021-09-22 16:45:56.361000+00:00;Trivial;Bug;RF;2021-09-22 16:45:41.924000+00:00;16; MAD  1214
10;Back End Developer; MAD  1214;RFW;2021-09-22 16:45:56.361000+00:00;2021-09-22 16:46:03.283000+00:00;Trivial;Bug;RFW;2021-09-22 16:45:56.361000+00:00;17; MAD  1214
11;Back End Developer; MAD  1214;WIog;2021-09-22 16:46:03.283000+00:00;2021-09-30 15:54:04.427000+00:00;Trivial;Bug;WIog;2021-09-22 16:46:03.283000+00:00;18; MAD  1214
12;Back End Developer; MAD  1214;Closed;2021-09-30 15:54:04.427000+00:00;2021-09-30 15:54:04.427000+00:00;Trivial;Bug;Closed;2021-09-30 15:54:04.427000+00:00;19; MAD  1214
13;Back End Developer; MAD  1283;RF;2021-07-14 11:52:35.594000+00:00;2021-11-03 11:45:05.358000+00:00;Critical;Task;RF;2021-07-14 11:52:35.594000+00:00;22; MAD  1283
14;Back End Developer; MAD  1283;RFW;2021-11-03 11:45:05.358000+00:00;2021-11-03 11:45:07.683000+00:00;Critical;Task;RFW;2021-11-03 11:45:05.358000+00:00;23; MAD  1283
15;Back End Developer; MAD  1283;WIog;2021-11-03 11:45:07.683000+00:00;2021-11-05 14:41:53.654000+00:00;Critical;Task;WIog;2021-11-03 11:45:07.683000+00:00;24; MAD  1283
16;Back End Developer; MAD  1283;Closed;2021-11-05 14:41:53.654000+00:00;2021-11-05 14:41:53.654000+00:00;Critical;Task;Closed;2021-11-05 14:41:53.654000+00:00;25; MAD  1283
17;Back End Developer; MAD  1318;RF;2021-07-21 13:56:48.958000+00:00;2021-07-21 13:56:54.112000+00:00;None;Bug;RF;2021-07-21 13:56:48.958000+00:00;33; MAD  1318
18;Back End Developer; MAD  1318;Plan;2021-07-21 13:56:54.112000+00:00;2021-07-21 13:57:11.243000+00:00;None;Bug;Plan;2021-07-21 13:56:54.112000+00:00;34; MAD  1318
19;Back End Developer; MAD  1318;RF;2021-07-21 13:57:11.243000+00:00;2021-08-02 10:45:14.147000+00:00;None;Bug;RF;2021-07-21 13:57:11.243000+00:00;35; MAD  1318
20;PO; MAD  1318;Plan;2021-08-02 10:45:14.147000+00:00;2021-08-02 10:46:04.758000+00:00;None;Bug;Plan;2021-08-02 10:45:14.147000+00:00;36; MAD  1318
21;PO; MAD  1318;Closed;2021-08-02 10:46:04.758000+00:00;2021-08-02 10:46:04.758000+00:00;None;Bug;Closed;2021-08-02 10:46:04.758000+00:00;37; MAD  1318
22;Data Analyst; MAD  1352;RF;2021-12-13 14:41:13.019000+00:00;2021-12-13 14:41:16.207000+00:00;None;Auswertung;RF;2021-12-13 14:41:13.019000+00:00;41; MAD  1352
23;Data Analyst; MAD  1352;RFW;2021-12-13 14:41:16.207000+00:00;2021-12-13 14:41:19.140000+00:00;None;Auswertung;RFW;2021-12-13 14:41:16.207000+00:00;42; MAD  1352
